,KUERZUNGEN,GDE_NAME,BETRIEBE_TOTAL,KUERZUNGEN_BETRAG_AVG,ABJ_KANTON,GDE_CLEAN
641,1.0,Broc,18,8.654838709677419,FR,Broc
642,4.0,Bulle,29,80.97747252747253,FR,Bulle
643,6.0,Corbières,34,28.38465909090909,FR,Corbières
644,3.0,Echarlens,16,17.154444444444444,FR,Echarlens
645,4.0,Grandvillard,44,44.77210144927536,FR,Grandvillard
646,9.0,Gruyères,39,29.447008547008547,FR,Gruyères
647,8.0,Hauteville,24,180.41404494382022,FR,Hauteville
648,20.0,Jaun,77,149.1138181818182,FR,Jaun
649,3.0,Marsens,13,54.8780487804878,FR,Marsens
650,3.0,Morlon,7,28.125,FR,Morlon
651,3.0,Le Pâquier (FR),17,16.634,FR,Le Pâquier
652,7.0,Pont-la-Ville,17,69.3140350877193,FR,Pont-la-Ville
653,5.0,Riaz,13,39.51145833333333,FR,Riaz
654,18.0,La Roche,60,50.03564102564102,FR,La Roche
655,16.0,Sâles,71,134.78026315789472,FR,Sâles
656,8.0,Sorens,24,138.72750000000002,FR,Sorens
657,10.0,Vaulruz,39,49.027040816326526,FR,Vaulruz
658,8.0,Vuadens,38,204.34776119402983,FR,Vuadens
659,8.0,Bas-Intyamon,58,19.285087719298247,FR,Bas-Intyamon
660,13.0,Val-de-Charmey,171,23.556996268656714,FR,Val-de-Charmey
661,4.0,Arconciel,11,172.78125,FR,Arconciel
662,17.0,Autigny,23,344.2798701298702,FR,Autigny
663,9.0,Avry,16,276.9866666666667,FR,Avry
664,18.0,Belfaux,25,321.9268115942029,FR,Belfaux
665,4.0,Corminboeuf,12,388.715625,FR,Corminboeuf
666,6.0,Corserey,7,496.5625,FR,Corserey
667,6.0,Cottens (FR),14,283.86562499999997,FR,Cottens
668,4.0,Ependes (FR),11,132.50681818181818,FR,Ependes
669,4.0,Granges-Paccot,8,114.66428571428573,FR,Granges-Paccot
670,8.0,Grolley,11,468.5222222222222,FR,Grolley
671,3.0,Marly,8,441.52799999999996,FR,Marly
672,4.0,Noréaz,14,144.3125,FR,Noréaz
